"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"28/08/2026 06:15:00 - 28/08/2026 06:30:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 06:30:00 - 28/08/2026 06:45:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 06:45:00 - 28/08/2026 07:00:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 07:00:00 - 28/08/2026 07:15:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 07:15:00 - 28/08/2026 07:30:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 07:30:00 - 28/08/2026 07:45:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 07:45:00 - 28/08/2026 08:00:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 08:00:00 - 28/08/2026 08:15:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 08:15:00 - 28/08/2026 08:30:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 08:30:00 - 28/08/2026 08:45:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 08:45:00 - 28/08/2026 09:00:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 09:00:00 - 28/08/2026 09:15:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 09:15:00 - 28/08/2026 09:30:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 09:30:00 - 28/08/2026 09:45:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 09:45:00 - 28/08/2026 10:00:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 10:00:00 - 28/08/2026 10:15:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 10:15:00 - 28/08/2026 10:30:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 10:30:00 - 28/08/2026 10:45:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
"28/08/2026 10:45:00 - 28/08/2026 11:00:00","BZN|IT-South","Fossil Brown coal/Lignite","n/e"
